WHOREGION,FLUSEASON,HEMISPHERE,ITZ,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,ORIGIN_SOURCE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,AOTHER_SUBTYPE_DETAILS,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,OTHER_RESPVIRUS_DETAILS,LAB_RESULT_COMMENT,WCR_COMMENT,ISO2,ISOYW,MMWRYW,PSOURCE_SUBTYPE_INF,PSOURCE_PPOS_INF,PSOURCE_RSV
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37410,2002,23,37409,2002,23,NOTDEFINED,48,,,0,11,,,6,,,,17,,,,,,31,31,48,,4,,,,,,,,,,,,Flu B Outbreak at boarding school (8 cases),AU,200223,200223,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37424,2002,25,37423,2002,25,NOTDEFINED,33,,,0,11,,,4,,,,15,,,,,,18,18,33,,4,,,,,,,,,,,,Sporadic.  Flu A proportion increasing.,AU,200225,200225,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37445,2002,28,37444,2002,28,NOTDEFINED,46,,,0,16,,,19,,,,35,,,,,,11,11,46,,5,,,,,,,,,,,,Sporadic.,AU,200228,200228,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37459,2002,30,37458,2002,30,NOTDEFINED,46,,,,,,,42,,,,42,,,,,,4,4,46,,5,,,,,,,,,,,,,AU,200230,200230,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37480,2002,33,37479,2002,33,NOTDEFINED,14,,,,,,,14,,,,14,,,,,,0,0,14,,3,,,,,,,,,,,,,AU,200233,200233,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37494,2002,35,37493,2002,35,NOTDEFINED,11,,,,,,,10,,,,10,,,,,,1,1,11,,3,,,,,,,,,,,,,AU,200235,200235,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37515,2002,38,37514,2002,38,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200238,200238,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37550,2002,43,37549,2002,43,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200243,200243,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37585,2002,48,37584,2002,48,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200248,200248,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37620,2003,1,37619,2003,1,NOTDEFINED,1,,,0,1,,,0,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,? Fujian isolate (A/Fujian/411/2002-like),AU,200301,200301,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37641,2003,4,37640,2003,4,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200304,200304,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37655,2003,6,37654,2003,6,NOTDEFINED,0,,,0,0,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200306,200306,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37676,2003,9,37675,2003,9,NOTDEFINED,1,,,,1,,,,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,,AU,200309,200309,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37690,2003,11,37689,2003,11,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200311,200311,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37711,2003,14,37710,2003,14,NOTDEFINED,1,,,,,,,1,,,,1,,,,,,0,0,1,,3,,,,,,,,,,,,,AU,200314,200314,1,1,1
WPR,SH,SH,FLU_OCE_MEL_POL,AUS,Australia,37725,2003,16,37724,2003,16,NOTDEFINED,0,,,,,,,0,,,,0,,,,,,0,0,,,2,,,,,,,,,,,,,AU,200316,200316,1,1,1
